TF,celltype_jf,median.expression.multiome,median.expression.scrnaseq,wt.expr.gt.ko.pval,reported.efficiency.of.sgrna
MYT1L,ge_in,1.55937994526879,1.60227655300401,0.00113362911431499,strong
BCL11A,ctx_npc,1.31718875063896,1.29913040617918,0.00542683837850982,strong
KDM5B,ge_in,1.68887545215069,1.59896079460985,0.0340825824514067,strong
KMT2A,ctx_npc,1.26668548169973,1.21331749463113,0.0393548730149002,strong
ASH1L,ge_in,1.45766149361411,1.4935867112408,0.0425330590444261,strong
ASH1L,ctx_ip,1.30419028463711,1.29918602266025,0.0927505680051658,strong
BAZ2B,ctx_npc,1.96338496142077,1.94979197725487,0.115726628621235,strong
FOXP1,ctx_npc,1.01174411546567,0.996869871310685,0.131648232926728,strong
KMT2A,ge_npc,1.04299876172087,1.04086649063777,0.145216045834556,strong
ASH1L,ge_npc,1.2784576991891,1.2595301502584,0.149479023828367,strong
KDM5B,ctx_npc,1.56811340235793,1.56070821295969,0.151154004442333,strong
BAZ2B,ge_npc,1.57139659441171,1.58498675255629,0.191962878042277,strong
MYT1L,ctx_ip,1.82896195116319,1.79987831014724,0.210996870279892,strong
MYT1L,ctx_ex,2.09870910705834,2.09100439977163,0.240669514547749,strong
TCF20,ge_npc,0.519955940110034,0.518597964252019,0.280511418334836,strong
KDM5B,ctx_ex,1.56921152186751,1.56833910452029,0.288965649236789,strong
BCL11A,ctx_ex,1.85531989622198,1.91400768729866,0.334755142778474,strong
BCL11A,ge_npc,0.917285927830164,0.88763946509621,0.337526351911074,strong
ASH1L,ctx_npc,1.24115910860645,1.22783097434799,0.343881503985764,strong
TCF20,ctx_npc,0.560109090822669,0.45547516535271,0.392732487665926,strong
ADNP,ge_in,1.10867957482499,1.08988899782402,0.400944017079917,strong
ADNP,ctx_ip,1.06925789393144,1.00865380543862,0.415540060822614,strong
KDM5B,ctx_ip,1.69615003137654,1.68701849187099,0.436227862809759,strong
ADNP,ge_npc,0.992242970788161,0.978647003182266,0.442113833742466,strong
BCL11A,ctx_ip,1.79078316351717,1.76678580469278,0.477829354621,strong
TCF20,ge_in,0.851509255932697,0.634819749709184,0.55340285479734,strong
KMT2A,ctx_ip,1.22511989608149,1.18882932175068,0.554237921914339,strong
BAZ2B,ge_in,1.43460293556667,1.4244495020193,0.586796180611876,strong
KMT2A,ctx_ex,1.26176392935434,1.21157907585943,0.597045396393057,strong
KDM5B,ge_npc,1.29539654882139,1.33595679646339,0.620732885104042,strong
BAZ2B,ctx_ex,1.45239160952753,1.47982221705535,0.643056569569284,strong
TCF20,ctx_ex,0.762750087142832,0.731481880726873,0.667992510520717,strong
FOXP1,ge_npc,0.805705526495249,0.803230255171945,0.703678242501124,strong
TCF20,ctx_ip,0.542902355575128,0.494796164864233,0.734738664003682,strong
BCL11A,ge_in,1.43986265139851,1.4372827309739,0.749983876975522,strong
ASH1L,ctx_ex,1.38768883707662,1.34820151473052,0.843141923079468,strong
ADNP,ctx_npc,0.884094307823071,0.876454445362149,0.846331081620047,strong
KMT2A,ge_in,1.32331902580114,1.24796236186822,0.86622225412385,strong
ADNP,ctx_ex,1.13081986196042,1.09947482095039,0.885946556163743,strong
BAZ2B,ctx_ip,2.1410058715578,2.14066513013913,0.961025366572687,strong
FOXP1,ctx_ex,0.365860878386067,0.419556992670614,0.999892127136869,strong
